date,INTGOVBND,TBILL,FEDFUNDS,CASH,GS1,GS2
1926-01-01,0.0386,0.0034,,0,,
1926-02-01,0.0386,0.0027,,0,,
1926-03-01,0.0384,0.003,,0,,
1926-04-01,0.0371,0.0034,,0,,
1926-05-01,0.0376,0.0001,,0,,
1926-06-01,0.0377,0.0035,,0,,
1926-07-01,0.0381,0.0022,,0,,
1926-08-01,0.0386,0.0025,,0,,
1926-09-01,0.0382,0.0023,,0,,
1926-10-01,0.0377,0.0032,,0,,
1926-11-01,0.0374,0.0031,,0,,
1926-12-01,0.0361,0.0028,,0,,
1927-01-01,0.0355,0.0025,,0,,
1927-02-01,0.0353,0.0026,,0,,
1927-03-01,0.0351,0.003,,0,,
1927-04-01,0.0354,0.0025,,0,,
1927-05-01,0.0356,0.003,,0,,
1927-06-01,0.0356,0.0026,,0,,
1927-07-01,0.0353,0.003,,0,,
1927-08-01,0.0347,0.0028,,0,,
1927-09-01,0.034,0.0021,,0,,
1927-10-01,0.0354,0.0025,,0,,
1927-11-01,0.0342,0.0021,,0,,
1927-12-01,0.034,0.0022,,0,,
1928-01-01,0.0336,0.0025,,0,,
1928-02-01,0.0343,0.0033,,0,,
1928-03-01,0.0347,0.0029,,0,,
1928-04-01,0.0354,0.0022,,0,,
1928-05-01,0.0362,0.0032,,0,,
1928-06-01,0.0365,0.0031,,0,,
1928-07-01,0.0392,0.0032,,0,,
1928-08-01,0.0388,0.0032,,0,,
1928-09-01,0.0389,0.0027,,0,,
1928-10-01,0.0389,0.0041,,0,,
1928-11-01,0.0392,0.0038,,0,,
1928-12-01,0.0401,0.0006,,0,,
1929-01-01,0.0415,0.0034,,0,,
1929-02-01,0.0427,0.0036,,0,,
1929-03-01,0.0434,0.0034,,0,,
1929-04-01,0.0422,0.0036,,0,,
1929-05-01,0.0444,0.0044,,0,,
1929-06-01,0.0428,0.0052,,0,,
1929-07-01,0.0421,0.0033,,0,,
1929-08-01,0.0417,0.004,,0,,
1929-09-01,0.0428,0.0035,,0,,
1929-10-01,0.0398,0.0046,,0,,
1929-11-01,0.0365,0.0037,,0,,
1929-12-01,0.0362,0.0037,,0,,
1930-01-01,0.0378,0.0014,,0,,
1930-02-01,0.0364,0.003,,0,,
1930-03-01,0.0335,0.0035,,0,,
1930-04-01,0.0357,0.0021,,0,,
1930-05-01,0.035,0.0026,,0,,
1930-06-01,0.0325,0.0027,,0,,
1930-07-01,0.0319,0.002,,0,,
1930-08-01,0.032,0.0009,,0,,
1930-09-01,0.0312,0.0022,,0,,
1930-10-01,0.0301,0.0009,,0,,
1930-11-01,0.0291,0.0013,,0,,
1930-12-01,0.0291,0.0014,,0,,
1931-01-01,0.0312,0.0015,,0,,
1931-02-01,0.0296,0.0004,,0,,
1931-03-01,0.029,0.0013,,0,,
1931-04-01,0.0277,0.0008,,0,,
1931-05-01,0.0256,0.0009,,0,,
1931-06-01,0.0308,0.0008,,0,,
1931-07-01,0.031,0.0006,,0,,
1931-08-01,0.0312,0.0003,,0,,
1931-09-01,0.0343,0.0003,,0,,
1931-10-01,0.0373,0.001,,0,,
1931-11-01,0.0369,0.0017,,0,,
1931-12-01,0.0412,0.0012,,0,,
1932-01-01,0.0427,0.0023,,0,,
1932-02-01,0.0406,0.0023,,0,,
1932-03-01,0.0396,0.0016,,0,,
1932-04-01,0.036,0.0011,,0,,
1932-05-01,0.0387,0.0006,,0,,
1932-06-01,0.037,0.0002,,0,,
1932-07-01,0.035,0.0003,,0,,
1932-08-01,0.0329,0.0003,,0,,
1932-09-01,0.0329,0.0003,,0,,
1932-10-01,0.0325,0.0002,,0,,
1932-11-01,0.0324,0.0002,,0,,
1932-12-01,0.0304,0.0001,,0,,
1933-01-01,0.0313,0.0001,,0,,
1933-02-01,0.0319,-0.0003,,0,,
1933-03-01,0.0303,0.0004,,0,,
1933-04-01,0.0296,0.001,,0,,
1933-05-01,0.0258,0.0004,,0,,
1933-06-01,0.0261,0.0002,,0,,
1933-07-01,0.0267,0.0002,,0,,
1933-08-01,0.0256,0.0003,,0,,
1933-09-01,0.0255,0.0002,,0,,
1933-10-01,0.0265,0.0001,,0,,
1933-11-01,0.0264,0.0002,,0,,
1933-12-01,0.0325,0.0002,,0,,
1934-01-01,0.0325,0.0005,,0,,
1934-02-01,0.0321,0.0002,,0,,
1934-03-01,0.0296,0.0002,,0,,
1934-04-01,0.0272,0.0001,,0,,
1934-05-01,0.0257,0.0001,,0,,
1934-06-01,0.0246,0.0001,,0,,
1934-07-01,0.0253,0.0001,,0,,
1934-08-01,0.0271,0.0001,,0,,
1934-09-01,0.0298,0.0001,,0,,
1934-10-01,0.0271,0.0001,,0,,
1934-11-01,0.0267,0.0001,,0,,
1934-12-01,0.0249,0.0001,,0,,
1935-01-01,0.0233,0.0001,,0,,
1935-02-01,0.0218,0.0002,,0,,
1935-03-01,0.0199,0.0001,,0,,
1935-04-01,0.0184,0.0001,,0,,
1935-05-01,0.0193,0.0001,,0,,
1935-06-01,0.0175,0.0001,,0,,
1935-07-01,0.0171,0.0001,,0,,
1935-08-01,0.0187,0.0001,,0,,
1935-09-01,0.0201,0.0001,,0,,
1935-10-01,0.0183,0.0001,,0,,
1935-11-01,0.0183,0.0002,,0,,
1935-12-01,0.0163,0.0001,,0,,
1936-01-01,0.0166,0.0001,,0,,
1936-02-01,0.0155,0.0001,,0,,
1936-03-01,0.0151,0.0002,,0,,
1936-04-01,0.0149,0.0002,,0,,
1936-05-01,0.0143,0.0002,,0,,
1936-06-01,0.0143,0.0003,,0,,
1936-07-01,0.0141,0.0001,,0,,
1936-08-01,0.0133,0.0002,,0,,
1936-09-01,0.0133,0.0001,,0,,
1936-10-01,0.013,0.0002,,0,,
1936-11-01,0.0114,0.0001,,0,,
1936-12-01,0.0129,0,,0,,
1937-01-01,0.0134,0.0001,,0,,
1937-02-01,0.0135,0.0002,,0,,
1937-03-01,0.0184,0.0001,,0,,
1937-04-01,0.0175,0.0003,,0,,
1937-05-01,0.0156,0.0006,,0,,
1937-06-01,0.0164,0.0003,,0,,
1937-07-01,0.0151,0.0003,,0,,
1937-08-01,0.0168,0.0002,,0,,
1937-09-01,0.0147,0.0004,,0,,
1937-10-01,0.0141,0.0002,,0,,
1937-11-01,0.0131,0.0002,,0,,
1937-12-01,0.0114,0,,0,,
1938-01-01,0.0205,0,,0,,
1938-02-01,0.02,0,,0,,
1938-03-01,0.0204,-0.0001,,0,,
1938-04-01,0.0174,0.0001,,0,,
1938-05-01,0.0173,0,,0,,
1938-06-01,0.0164,0,,0,,
1938-07-01,0.0164,-0.0001,,0,,
1938-08-01,0.0164,0,,0,,
1938-09-01,0.0168,0.0002,,0,,
1938-10-01,0.0156,0.0001,,0,,
1938-11-01,0.0158,-0.0006,,0,,
1938-12-01,0.0152,0,,0,,
1939-01-01,0.0149,-0.0001,,0,,
1939-02-01,0.0138,0.0001,,0,,
1939-03-01,0.0127,-0.0001,,0,,
1939-04-01,0.0122,0,,0,,
1939-05-01,0.0108,0.0001,,0,,
1939-06-01,0.011,0.0001,,0,,
1939-07-01,0.0105,0,,0,,
1939-08-01,0.0131,-0.0001,,0,,
1939-09-01,0.018,0.0001,,0,,
1939-10-01,0.0127,0,,0,,
1939-11-01,0.0116,0,,0,,
1939-12-01,0.0098,0,,0,,
1940-01-01,0.0103,0,,0,,
1940-02-01,0.0098,0,,0,,
1940-03-01,0.0083,0,,0,,
1940-04-01,0.0084,0,,0,,
1940-05-01,0.0127,-0.0002,,0,,
1940-06-01,0.0092,0,,0,,
1940-07-01,0.0093,0.0001,,0,,
1940-08-01,0.0086,-0.0001,,0,,
1940-09-01,0.0078,0,,0,,
1940-10-01,0.0072,0,,0,,
1940-11-01,0.0061,0,,0,,
1940-12-01,0.0057,0,,0,,
1941-01-01,0.0077,-0.0001,,0,,
1941-02-01,0.0089,-0.0001,,0,,
1941-03-01,0.0075,0.0001,,0,,
1941-04-01,0.0069,-0.0001,,0,,
1941-05-01,0.0067,0,,0,,
1941-06-01,0.0055,0,,0,,
1941-07-01,0.0056,0.0003,,0,,
1941-08-01,0.0055,0.0001,,0,,
1941-09-01,0.0056,0.0001,,0,,
1941-10-01,0.0051,0,,0,,
1941-11-01,0.0076,0,,0,,
1941-12-01,0.0082,0.0001,,0,,
1942-01-01,0.0083,0.0002,,0,,
1942-02-01,0.0081,0.0001,,0,,
1942-03-01,0.0077,0.0001,,0,,
1942-04-01,0.0074,0.0001,,0,,
1942-05-01,0.0071,0.0003,,0,,
1942-06-01,0.007,0.0002,,0,,
1942-07-01,0.0071,0.0003,,0,,
1942-08-01,0.0069,0.0003,,0,,
1942-09-01,0.0076,0.0003,,0,,
1942-10-01,0.0073,0.0003,,0,,
1942-11-01,0.007,0.0003,,0,,
1942-12-01,0.0072,0.0003,,0,,
1943-01-01,0.0166,0.0003,,0,,
1943-02-01,0.0166,0.0003,,0,,
1943-03-01,0.0164,0.0003,,0,,
1943-04-01,0.0162,0.0003,,0,,
1943-05-01,0.0153,0.0003,,0,,
1943-06-01,0.0149,0.0003,,0,,
1943-07-01,0.0147,0.0003,,0,,
1943-08-01,0.0149,0.0003,,0,,
1943-09-01,0.0149,0.0003,,0,,
1943-10-01,0.0147,0.0003,,0,,
1943-11-01,0.0147,0.0003,,0,,
1943-12-01,0.0145,0.0003,,0,,
1944-01-01,0.015,0.0003,,0,,
1944-02-01,0.015,0.0003,,0,,
1944-03-01,0.0148,0.0002,,0,,
1944-04-01,0.0143,0.0003,,0,,
1944-05-01,0.0146,0.0003,,0,,
1944-06-01,0.0147,0.0003,,0,,
1944-07-01,0.0142,0.0003,,0,,
1944-08-01,0.0139,0.0003,,0,,
1944-09-01,0.0139,0.0002,,0,,
1944-10-01,0.0139,0.0003,,0,,
1944-11-01,0.014,0.0003,,0,,
1944-12-01,0.014,0.0002,,0,,
1945-01-01,0.0127,0.0003,,0,,
1945-02-01,0.0118,0.0002,,0,,
1945-03-01,0.012,0.0002,,0,,
1945-04-01,0.0118,0.0003,,0,,
1945-05-01,0.0117,0.0003,,0,,
1945-06-01,0.0114,0.0002,,0,,
1945-07-01,0.0118,0.0003,,0,,
1945-08-01,0.0115,0.0003,,0,,
1945-09-01,0.0112,0.0003,,0,,
1945-10-01,0.0109,0.0003,,0,,
1945-11-01,0.0109,0.0002,,0,,
1945-12-01,0.0103,0.0003,,0,,
1946-01-01,0.0099,0.0003,,0,,
1946-02-01,0.0087,0.0003,,0,,
1946-03-01,0.0101,0.0003,,0,,
1946-04-01,0.0111,0.0003,,0,,
1946-05-01,0.0112,0.0003,,0,,
1946-06-01,0.0103,0.0003,,0,,
1946-07-01,0.011,0.0003,,0,,
1946-08-01,0.0112,0.0003,,0,,
1946-09-01,0.012,0.0003,,0,,
1946-10-01,0.0114,0.0003,,0,,
1946-11-01,0.0121,0.0003,,0,,
1946-12-01,0.0112,0.0003,,0,,
1947-01-01,0.0116,0.0003,,0,,
1947-02-01,0.0117,0.0003,,0,,
1947-03-01,0.0112,0.0003,,0,,
1947-04-01,0.012,0.0003,,0,,
1947-05-01,0.0121,0.0003,,0,,
1947-06-01,0.0122,0.0003,,0,,
1947-07-01,0.0124,0.0003,,0,,
1947-08-01,0.0117,0.0003,,0,,
1947-09-01,0.0121,0.0006,,0,,
1947-10-01,0.0136,0.0006,,0,,
1947-11-01,0.0138,0.0006,,0,,
1947-12-01,0.0134,0.0008,,0,,
1948-01-01,0.016,0.0007,,0,,
1948-02-01,0.0158,0.0007,,0,,
1948-03-01,0.0157,0.0009,,0,,
1948-04-01,0.0155,0.0008,,0,,
1948-05-01,0.0142,0.0008,,0,,
1948-06-01,0.0149,0.0009,,0,,
1948-07-01,0.0154,0.0008,,0,,
1948-08-01,0.016,0.0009,,0,,
1948-09-01,0.0161,0.0004,,0,,
1948-10-01,0.0161,0.0004,,0,,
1948-11-01,0.0158,0.0004,,0,,
1948-12-01,0.0151,0.0004,,0,,
1949-01-01,0.0153,0.001,,0,,
1949-02-01,0.0153,0.0009,,0,,
1949-03-01,0.0148,0.001,,0,,
1949-04-01,0.0147,0.0009,,0,,
1949-05-01,0.0144,0.001,,0,,
1949-06-01,0.0129,0.001,,0,,
1949-07-01,0.0125,0.0009,,0,,
1949-08-01,0.0117,0.0009,,0,,
1949-09-01,0.0118,0.0009,,0,,
1949-10-01,0.012,0.0009,,0,,
1949-11-01,0.0124,0.0008,,0,,
1949-12-01,0.0123,0.0009,,0,,
1950-01-01,0.0131,0.0009,,0,,
1950-02-01,0.0132,0.0009,,0,,
1950-03-01,0.0137,0.001,,0,,
1950-04-01,0.0138,0.0009,,0,,
1950-05-01,0.0134,0.001,,0,,
1950-06-01,0.0139,0.001,,0,,
1950-07-01,0.0134,0.001,,0,,
1950-08-01,0.0145,0.001,,0,,
1950-09-01,0.0154,0.001,,0,,
1950-10-01,0.0162,0.0012,,0,,
1950-11-01,0.0159,0.0011,,0,,
1950-12-01,0.0162,0.0011,,0,,
1951-01-01,0.0179,0.0013,,0,,
1951-02-01,0.018,0.001,,0,,
1951-03-01,0.0211,0.0011,,0,,
1951-04-01,0.0202,0.0013,,0,,
1951-05-01,0.0215,0.0012,,0,,
1951-06-01,0.0208,0.0012,,0,,
1951-07-01,0.0199,0.0013,,0,,
1951-08-01,0.0194,0.0013,,0,,
1951-09-01,0.0212,0.0012,,0,,
1951-10-01,0.0212,0.0016,,0,,
1951-11-01,0.0209,0.0011,,0,,
1951-12-01,0.0217,0.0012,,0,,
1952-01-01,0.0212,0.0015,,0,,
1952-02-01,0.0222,0.0012,,0,,
1952-03-01,0.0209,0.0011,,0,,
1952-04-01,0.0199,0.0012,,0,,
1952-05-01,0.0198,0.0013,,0,,
1952-06-01,0.0213,0.0015,,0,,
1952-07-01,0.0228,0.0015,,0,,
1952-08-01,0.0241,0.0015,,0,,
1952-09-01,0.0242,0.0016,,0,,
1952-10-01,0.0227,0.0014,,0,,
1952-11-01,0.0235,0.001,,0,,
1952-12-01,0.0235,0.0016,,0,,
1953-01-01,0.0242,0.0016,,0,,
1953-02-01,0.0245,0.0014,,0,,
1953-03-01,0.0253,0.0018,,0,,
1953-04-01,0.0277,0.0016,,0,0.024,
1953-05-01,0.0307,0.0017,,0,0.025,
1953-06-01,0.0279,0.0018,,0,0.025,
1953-07-01,0.0272,0.0015,,0,0.024,
1953-08-01,0.0279,0.0017,,0,0.023,
1953-09-01,0.0241,0.0016,,0,0.022,
1953-10-01,0.0237,0.0013,,0,0.018,
1953-11-01,0.0238,0.0008,,0,0.017,
1953-12-01,0.0218,0.0013,,0,0.017,
1954-01-01,0.0187,0.0011,,0,0.014,
1954-02-01,0.0157,0.0007,,0,0.011,
1954-03-01,0.0153,0.0008,,0,0.011,
1954-04-01,0.0142,0.0009,,0,0.010,
1954-05-01,0.0173,0.0005,,0,0.009,
1954-06-01,0.0131,0.0006,,0,0.008,
1954-07-01,0.0138,0.0005,0.008,0,0.008,
1954-08-01,0.0138,0.0005,0.012,0,0.009,
1954-09-01,0.0152,0.0009,0.011,0,0.010,
1954-10-01,0.0161,0.0007,0.009,0,0.012,
1954-11-01,0.0168,0.0006,0.008,0,0.011,
1954-12-01,0.0172,0.0008,0.013,0,0.012,
1955-01-01,0.0227,0.0008,0.014,0,0.014,
1955-02-01,0.024,0.0009,0.013,0,0.016,
1955-03-01,0.024,0.001,0.014,0,0.016,
1955-04-01,0.0242,0.001,0.014,0,0.018,
1955-05-01,0.0246,0.0014,0.014,0,0.019,
1955-06-01,0.0257,0.001,0.016,0,0.019,
1955-07-01,0.0276,0.001,0.017,0,0.020,
1955-08-01,0.028,0.0016,0.020,0,0.024,
1955-09-01,0.0267,0.0016,0.022,0,0.024,
1955-10-01,0.0257,0.0018,0.022,0,0.024,
1955-11-01,0.0273,0.0017,0.024,0,0.025,
1955-12-01,0.028,0.0018,0.025,0,0.027,
1956-01-01,0.0271,0.0022,0.025,0,0.026,
1956-02-01,0.0275,0.0019,0.025,0,0.025,
1956-03-01,0.03,0.0015,0.025,0,0.026,
1956-04-01,0.0305,0.0019,0.026,0,0.029,
1956-05-01,0.0287,0.0023,0.028,0,0.029,
1956-06-01,0.0292,0.002,0.027,0,0.027,
1956-07-01,0.0317,0.0022,0.028,0,0.028,
1956-08-01,0.0346,0.0017,0.027,0,0.031,
1956-09-01,0.0331,0.0018,0.030,0,0.034,
1956-10-01,0.0342,0.0025,0.030,0,0.033,
1956-11-01,0.0359,0.002,0.029,0,0.034,
1956-12-01,0.0363,0.0024,0.029,0,0.037,
1957-01-01,0.0326,0.0027,0.028,0,0.034,
1957-02-01,0.0333,0.0024,0.030,0,0.034,
1957-03-01,0.0334,0.0023,0.030,0,0.034,
1957-04-01,0.0357,0.0025,0.030,0,0.035,
1957-05-01,0.0366,0.0026,0.030,0,0.035,
1957-06-01,0.039,0.0024,0.030,0,0.036,
1957-07-01,0.0399,0.003,0.030,0,0.038,
1957-08-01,0.0385,0.0025,0.032,0,0.040,
1957-09-01,0.039,0.0026,0.035,0,0.041,
1957-10-01,0.0388,0.0029,0.035,0,0.040,
1957-11-01,0.032,0.0028,0.033,0,0.036,
1957-12-01,0.0284,0.0024,0.030,0,0.032,
1958-01-01,0.0282,0.0028,0.027,0,0.026,
1958-02-01,0.0259,0.0012,0.017,0,0.020,
1958-03-01,0.0253,0.0009,0.012,0,0.018,
1958-04-01,0.0246,0.0008,0.013,0,0.014,
1958-05-01,0.0238,0.0011,0.006,0,0.014,
1958-06-01,0.025,0.0003,0.009,0,0.012,
1958-07-01,0.0281,0.0007,0.007,0,0.016,
1958-08-01,0.0365,0.0004,0.015,0,0.025,
1958-09-01,0.0376,0.0019,0.018,0,0.030,
1958-10-01,0.0382,0.0018,0.018,0,0.032,
1958-11-01,0.0359,0.0011,0.023,0,0.031,
1958-12-01,0.0381,0.0022,0.024,0,0.033,
1959-01-01,0.0395,0.0021,0.025,0,0.034,
1959-02-01,0.0378,0.0019,0.024,0,0.035,
1959-03-01,0.0393,0.0022,0.028,0,0.036,
1959-04-01,0.0413,0.002,0.030,0,0.037,
1959-05-01,0.042,0.0022,0.029,0,0.040,
1959-06-01,0.0447,0.0025,0.034,0,0.041,
1959-07-01,0.0448,0.0025,0.035,0,0.044,
1959-08-01,0.0477,0.0019,0.035,0,0.044,
1959-09-01,0.0482,0.0031,0.038,0,0.050,
1959-10-01,0.0448,0.003,0.040,0,0.048,
1959-11-01,0.0482,0.0026,0.040,0,0.048,
1959-12-01,0.0498,0.0034,0.040,0,0.051,
1960-01-01,0.0471,0.0033,0.040,0,0.050,
1960-02-01,0.0464,0.0029,0.040,0,0.047,
1960-03-01,0.0409,0.0035,0.038,0,0.040,
1960-04-01,0.0431,0.0019,0.039,0,0.040,
1960-05-01,0.0432,0.0027,0.038,0,0.042,
1960-06-01,0.039,0.0024,0.033,0,0.034,
1960-07-01,0.0334,0.0013,0.032,0,0.032,
1960-08-01,0.0343,0.0017,0.030,0,0.030,
1960-09-01,0.0343,0.0016,0.026,0,0.031,
1960-10-01,0.0346,0.0022,0.025,0,0.030,
1960-11-01,0.0377,0.0013,0.024,0,0.031,
1960-12-01,0.0331,0.0016,0.020,0,0.029,
1961-01-01,0.0363,0.0019,0.014,0,0.028,
1961-02-01,0.035,0.0014,0.025,0,0.029,
1961-03-01,0.0348,0.002,0.020,0,0.029,
1961-04-01,0.0342,0.0017,0.015,0,0.029,
1961-05-01,0.0355,0.0018,0.020,0,0.029,
1961-06-01,0.0368,0.002,0.017,0,0.031,
1961-07-01,0.0373,0.0018,0.012,0,0.029,
1961-08-01,0.0376,0.0014,0.020,0,0.031,
1961-09-01,0.0365,0.0017,0.019,0,0.031,
1961-10-01,0.0369,0.0019,0.023,0,0.030,
1961-11-01,0.0381,0.0015,0.026,0,0.031,
1961-12-01,0.0384,0.0019,0.023,0,0.032,
1962-01-01,0.0402,0.0024,0.021,0,0.033,
1962-02-01,0.0377,0.002,0.024,0,0.033,
1962-03-01,0.0366,0.002,0.029,0,0.031,
1962-04-01,0.0367,0.0022,0.028,0,0.030,
1962-05-01,0.0363,0.0024,0.024,0,0.030,
1962-06-01,0.0375,0.002,0.027,0,0.030,
1962-07-01,0.0384,0.0027,0.027,0,0.033,
1962-08-01,0.0365,0.0023,0.029,0,0.032,
1962-09-01,0.0366,0.0021,0.029,0,0.031,
1962-10-01,0.0362,0.0026,0.029,0,0.030,
1962-11-01,0.0355,0.002,0.029,0,0.030,
1962-12-01,0.035,0.0023,0.029,0,0.030,
1963-01-01,0.0368,0.0025,0.029,0,0.030,
1963-02-01,0.037,0.0023,0.030,0,0.030,
1963-03-01,0.037,0.0023,0.030,0,0.030,
1963-04-01,0.0371,0.0025,0.029,0,0.031,
1963-05-01,0.0374,0.0024,0.030,0,0.031,
1963-06-01,0.0378,0.0023,0.030,0,0.032,
1963-07-01,0.0385,0.0027,0.030,0,0.035,
1963-08-01,0.0388,0.0025,0.035,0,0.035,
1963-09-01,0.0392,0.0027,0.035,0,0.036,
